20 Microns Ltd.	20MICRONS
Ashiana Housing Ltd.	ASHIANA
Ashima Ltd.	ASHIMASYNBE
Ashok Alco-Chem Ltd.	ASHOKALCOBE
Ashok Leyland Ltd.	ASHOKLEY
Ashoka Buildcon Ltd.	ASHOKA
Ashram Online.com Ltd.	TATIASKYLNBE
Asian Electronics Ltd.	ASIANELECBE
Asian Granito India Ltd.	ASIANTILES
Asian Hotels (East) Ltd.	AHLEAST
Asian Hotels (North) Ltd.	ASIANHOTNR
Asian Hotels (West) Ltd.	AHLWEST
Asian Paints Ltd.	ASIANPAINT
Assam Company (India) Ltd.	ASSAMCO
Associated Alcohols & Breweries Ltd.	ASOCALCHOLBE
Associated Stone Industries (Kotah) Ltd.	ASOCSTONEBE
Astec Lifesciences Ltd.	ASTECBE
Aster Silicates Ltd.	ASTERSILIBE
Astra Microwave Products Ltd.	ASTRAMICRO
Astral Poly Technik Ltd.	ASTRAL
AstraZeneca Pharma India Ltd.	ASTRAZEN
Atcom Technologies Ltd.	ATCOMBE
Atlanta Ltd.	ATLANTA
Atlantic Spinning and Weaving Mills Ltd.	ATLANTSPGBE
Atlas Copco (India) Ltd.	ATLASCOPCO
Atlas Cycles (Haryana) Ltd.	ATLASCYCLE
ATN International Ltd.	ATNINTER
Atul Ltd.	ATUL
ATV Projects India Ltd.	ATVPROJBE
Aurangabad Paper Mills Ltd.	AURANPAPERBE
Aurionpro Solutions Ltd.	AURIONPRO
Aurobindo Pharma Ltd.	AUROPHARMA
Ausom Enterprise Ltd.	AUSOMENT
Autoline Industries Ltd.	AUTOIND
Autolite (India) Ltd.	AUTOLITINDBE
Automobile Corporation Of Goa Ltd.	AUTOCORPBE
Automotive Axles Ltd.	AUTOAXLES
Automotive Stampings and Assemblies Ltd.	ASAL
Autopal Industries Ltd.	AUTOPALINDBE
Autoriders Finance Ltd.	AUTORIDFIN
Avanti Feeds Ltd.	AVANTI
Avery India Ltd.	AVERYBE
AVT Natural Products Ltd.	AVTNPL
Axis Bank Ltd.	AXISBANK
AXIS-IT&T Ltd.	AXIS-ITandT
Aztecsoft Ltd.[Merged]	AZTECSOFT
B L Kashyap & Sons Ltd.	BLKASHYAP
Bafna Pharmaceuticals Ltd.	BAFNAPHARM
BAG Films & Media Ltd.	BAGFILMS
Bajaj Auto Ltd.	BAJAJ-AUTO
Bajaj Corp Ltd.	BAJAJCORP
Bajaj Electricals Ltd.	BAJAJELEC
Bajaj Finance Ltd.	BAJFINANCE
Bajaj Finserv Ltd.	BAJAJFINSV
Bajaj Hindustan Ltd.	BAJAJHIND
Bajaj Holdings & Investment Ltd.	BAJAJHLDNG
Bal Pharma Ltd.	BALPHARMA
Balaji Amines Ltd.	BALAMINES
Balaji Distilleries Ltd.[Amalgamated]	BALAJIDIST
Balaji Industrial Corporation Ltd.	BALAJIIND
Balaji Telefilms Ltd.	BALAJITELE
Balasore Alloys Ltd.	ISPATALLOYBE
Balkrishna Industries Ltd.	BALKRISIND
Company	Code
Ballarpur Industries Ltd.	BALLARPUR
Balmer Lawrie & Company Ltd.	BALMLAWRIE
Balrampur Chini Mills Ltd.	BALRAMCHIN
Balurghat Technologies Ltd.	BALURTRANSBE
Banaras Beads Ltd.	BANARBEADSBE
Banco Products (India) Ltd.	BANCOINDIA
Bang Overseas Ltd.	BANG
Bank of Baroda	BANKBARODA
Bank of India	BANKINDIA
Bank of Maharashtra	MAHABANK
Bank of Rajasthan Ltd.[Merged]	BANKRAJAS
Bannari Amman Spinning Mills Ltd.	BASMLBE
Bannari Amman Sugars Ltd.	BANARISUG
Banswara Syntex Ltd.	BANSWRAS
Barak Valley Cements Ltd.	BVCLBE
Bartronics India Ltd.	BARTRONICS
BASF India Ltd.	BASF
Bata India Ltd.	BATAINDIA
Batliboi Ltd.	BATLIBOI
Bayer Cropscience Ltd.	BAYERCROP
Beardsell Ltd.	BEARDSELLBE
Bedmutha Industries Ltd.	BEDMUTHA
Bell Ceramics Ltd.	BELLCERATL
Bellary Steels & Alloys Ltd.	BELLARYSTLBE
BEML Ltd.	BEML
Bengal Tea and Fabrics Ltd.	BENGALTEABE
Berger Paints (India) Ltd.	BERGEPAINT
Best & Crompton Engineering Ltd.	BECREL
BF Investment Ltd.	BFINVEST
BF Utilities Ltd.	BFUTILITIE
BGR Energy Systems Ltd.	BGRENERGY
Bhagawati Gas Ltd.	BAGWATIGASBE
Bhagwati Banquets & Hotels Ltd.	BHAGWATIHO
Bhagyanagar India Ltd.	BHAGYNAGAR
Bhansali Engineering Polymers Ltd.	BEPL
Bharat Bijlee Ltd.	BBL
Bharat Electronics Ltd.	BEL
Bharat Forge Ltd.	BHARATFORG
Bharat Gears Ltd.	BHARATGEAR
Bharat Heavy Electricals Ltd.	BHEL
Bharat Petroleum Corporation Ltd.	BPCL
Bharat Rasayan Ltd.	BHARATRAS
Bharati Shipyard Ltd.	BHARTISHIP
Bharatiya Global Infomedia Ltd.	BGLOBAL
Bharti Airtel Ltd.	BHARTIARTL
Bhartiya International Ltd.	BIL
Bhor Industries Ltd.	BHORIND
Bhushan Steel Ltd.	BHUSANSTL
Bhuwalka Steel Industries Ltd.	BUWALKASTLBE
Bihar Sponge Iron Ltd.	BIHARSPONGBE
Bil Energy Systems Ltd.	BILENERGYBE
Bilpower Ltd.	BILPOWER
Bimetal Bearings Ltd.	BIMETAL
Binani Cement Ltd.	BINANICEM
Binani Industries Ltd.	BINANIIND
Biocon Ltd.	BIOCON
Biofil Chemicals & Pharmaceuticals Ltd.	BIOFILCHEM
Birla Corporation Ltd.	BIRLACORPN
Birla Cotsyn (India) Ltd.	BIRLACOTBE
Birla Ericsson Optical Ltd.	BIRLAERIC
Birla Global Finance Ltd.	BGFL
Birla Machining & Toolings Ltd.	DAGERFORSTBE
Birla Power Solutions Ltd.	BIRLAPOWER
BLB Ltd.	BLBLIMITEDBE
Bliss GVS Pharma Ltd.	BLISSGVS
Blow Plast Ltd.[Merged]	BLOWPLAST
Blue Bird (India) Ltd.	BLUEBIRD
Blue Blends (India) Ltd.	BLUEBLENDS
Blue Chip India Ltd.	BLUECHIP
Blue Coast Hotels Ltd.	BLUECOAST
Blue Dart Express Ltd.	BLUEDART
Blue Star Infotech Ltd.	BLUESTINFO
Blue Star Ltd.	BLUESTARCO
BOC India Ltd.	BOC
Bodal Chemicals Ltd.	BODALCHEMBE
Bodhtree Consulting Ltd.	BODHTREEBE
Bombay Burmah Trading Corporation Ltd.	BBTC
Bombay Dyeing & Manufacturing Company Ltd.	BOMDYEING
Bombay Rayon Fashions Ltd.	BRFL
Bongaigaon Refinery & Petrochemicals Ltd.[Merged]	BONGAIREFN
Borosil Glass Works Ltd.	BOROGLASSBE
Bosch Chassis Systems India Ltd.	BOSCHCHASY
Bosch Ltd.	BOSCHLTD
BPL Engineering Ltd.	BPLENGGBE
BPL Ltd.	BPL
Brabourne Enterprises Ltd.[Amalgamated]	BRABOURNEBE
Brandhouse Retails Ltd.	BRANDHOUSE
Brigade Enterprises Ltd.	BRIGADE
Bright Brothers Ltd.	BRIGHTBROSBE
Britannia Industries Ltd.	BRITANNIA
Broadcast Initiatives Ltd.	BROADCAST
Brooks Laboratories Ltd.	BROOKS
BS Ltd.	BSTRANSCOM
BS Refrigerators Ltd.	BPLREFRIGBE
BSEL Infrastructure Realty Ltd.	BSELINFRA
BSI Ltd.	BSIBE
BSL Ltd.	BSL
Burnpur Cement Ltd.	BURNPURBE
C & C Constructions Ltd.	CANDC
Company	Code
C Mahendra Exports Ltd.	CMAHENDRA
Cable Corporation of India Ltd.	CCIBE
Cadila Healthcare Ltd.	CADILAHC
Cairn India Ltd.	CAIRN
California Software Company Ltd.	CALSOFT
Cambridge Technology Enterprises Ltd.	CTE
Camphor & Allied Products Ltd.	CAMPALLIEDBE
Can Fin Homes Ltd.	CANFINHOME
Canara Bank	CANBK
Cantabil Retail India Ltd.	CANTABIL
Capital First Ltd.	FCH
Caprihans India Ltd.	CAPRIHANS
Carborundum Universal Ltd.	CARBORUNIV
Career Point Ltd.	CAREERP
Carol Info Services Ltd.	CAROLINFO
Castrol India Ltd.	CASTROL
CCL Products India Ltd.	CCL
CDI International Ltd.	COMPACDISCBE
Ceat Ltd.	CEATLTD
Ceenik Exports (India) Ltd.	CEENIKEXPOBE
Celebrity Fashions Ltd.	CELEBRITY
Celestial Biolabs Ltd.	CELESTIAL
Central Bank of India	CENTRALBK
Central India Polyesters Ltd.[Merged]	CIPL
Centum Electronics Ltd.	CENTUM
Centurion Bank of Punjab Ltd.	CENTBOP
Century Enka Ltd.	CENTENKA
Century Extrusions Ltd.	CENTEXT
Century Plyboards (I) Ltd.	CENTURYPLY
Century Textiles & Industries Ltd.	CENTURYTEX
Cera Sanitaryware Ltd.	CERA
CESC Ltd.	CESC
CFL Capital Financial Services Ltd.	CEATFIN
Chambal Fertilisers & Chemicals Ltd.	CHAMBLFERT
Champdany Industries Ltd.	CHAMPDANYBE
Chemfab Alkalies Ltd.	CHEMFALKAL
Chemplast Sanmar Ltd.	CHEMPLASTBE
Chennai Petroleum Corporation Ltd.	CHENNPETRO
Cheslind Textiles Ltd.	CHESLINTEX
Chettinad Cement Corporation Ltd.	CHETTINAD
CHI Investments Ltd.[Amalgamated]	CHI
Choksi Tubes Company Ltd.	CHOKSITUBEBE
Cholamandalam Investment & Finance Company Ltd.	CHOLAFIN
Chowgule Steamships Ltd.	CHOWGULSTMBE
Chromatic India Ltd.	CHROMATIC
Ciba India Ltd. [Merged]	CIBASPEC
CIL Nova Petrochemicals Ltd.	CILNOVA
Cimmco Ltd.	CIMMCO
Cinemax India Ltd.	CINEMAXIN
Cinemax Properties Ltd.	CINEPRO
Cinevista Ltd.	CINEVISTABE
Cipla Ltd.	CIPLA
Citurgia Biochemicals Ltd.	CITURGIBIO
City Union Bank Ltd.	CUB
Clariant Chemicals (India) Ltd.	CLNINDIA
Classic Diamonds (India) Ltd.	CLASSICBE
Clutch Auto Ltd.	CLUTCHAUTO
CMC Ltd.	CMC
CMI FPE Ltd.	FLATPRODBE
Coal India Ltd.	COALINDIA
Colgate-Palmolive (India) Ltd.	COLPAL
Color Chips (India) Ltd.	COLORCHIPS
Commercial Engineers & Body Builders Co Ltd.	CEBBCO
Compuage Infocom Ltd.	COMPUAGE
Compucom Software Ltd.	COMPUSOFT
Compudyne Winfosystems Ltd.	COMPUDYNE
Compulink Systems Ltd.[Merged]	COMSYS
Computech International Ltd.	COMPUTECH
Consolidated Construction Consortium Ltd.	CCCL
Consolidated Finvest & Holdings Ltd.	CONSOFINVT
Consortex Karl Doelitzsch (India) Ltd.	APOWERTOOLBE
Container Corporation of India Ltd.	CONCOR
Coral Hub Ltd.	CORAL-HUBBE
Coral India Finance & Housing Ltd.	CORALFINACBE
Cords Cable Industries Ltd.	CORDSCABLE
CORE Education & Technologies Ltd.	COREEDUTEC
Core Healthcare Ltd.	COREPARENTBE
Coromandel Engineering Company Ltd.	COROENGG
Coromandel International Ltd.	COROMANDEL
Corporation Bank	CORPBANK
Cosmo Films Ltd.	COSMOFILMS
Country Condo's Ltd.	COUNCODOS
Cox & Kings Ltd.	COXandKINGS
Cranes Software International Ltd.	CRANESSOFT
Creative Eye Ltd.	CREATIVEYEBE
Crest Animation Studios Ltd.	CRESTANI
Crew B.O.S Products Ltd.	CREWBOS
Crisil Ltd.	CRISIL
Crompton Greaves Ltd.	CROMPGREAV
Cubex Tubings Ltd.	CUBEXTUB
Cummins India Ltd.	CUMMINSIND
Cura Technologies Ltd.	CURATECH
Cyber Media (India) Ltd.	CYBERMEDIA
Cybertech Systems & Software Ltd.	CYBERTECH
D B (International) Stock Brokers Ltd.	DBSTOCKBRO
D B Realty Ltd.	DBREALTY
D-Link (India) Ltd.	DLINKINDIA
Dabur India Ltd.	DABUR
Daewoo Motors India Ltd.	DCMDAEWOO
Dai Ichi Karkaria Ltd.	DAICHIKARKBE
Dalmia Bharat Ltd.	DALMIABEL
Company	Code
Dalmia Bharat Sugar and Industries Ltd.	DALMIASUGBE
Datamatics Global Services Ltd.	DATAMATICS
Datapro Information Technology Ltd.	DATAPROINFBE
Datar Switchgear Ltd.	DATARSWICHBT
DB Corp Ltd.	DBCORP
DCM Financial Services Ltd.	DCMFINSERV
DCM Ltd.	DCM
DCM Shriram Consolidated Ltd.	DCMSRMCONS
DCM Shriram Industries Ltd.	DCMSRMINDBE
DCW Ltd.	DCW
De Nora India Ltd.	DENORA
Deccan Cements Ltd.	DECCANCE
Deccan Chronicle Holdings Ltd.	DCHLBE
Decolight Ceramics Ltd.	DECOLIGHTBE
Deep Industries Ltd.	DEEPIND
Deepak Fertilizers & Petrochemicals Corp. Ltd.	DEEPAKFERT
Deepak Nitrite Ltd.	DEEPAKNTR
Deepak Spinners Ltd.	DEEPAKSPINBE
Delta Corp Ltd.	DELTACORP
Delta Magnets Ltd.	DELTAMAGNTBE
Den Networks Ltd.	DEN
Dena Bank	DENABANK
Denso India Ltd.	DENSO
Development Credit Bank Ltd.	DCB
Dewan Housing Finance Corporation Ltd.	DHFL
Dewan Rubber Industries Ltd.	DEWANRUBBE
Dewan Tyres Ltd.	DEWANTYREBE
Dhampur Sugar Mills Ltd.	DHAMPURSUG
Dhanlaxmi Bank Ltd.	DHANBANK
Dhanuka Agritech Ltd.	DHANUKA
Dhanus Technologies Ltd.	DHANUS
Dharamsi Morarji Chemicals Company Ltd.	DHARAMORARBE
Dharani Sugars & Chemicals Ltd.	DHARSUGAR
Dhunseri Investments Ltd.	DHUNINV
Dhunseri Petrochem & Tea Ltd.	DPTL
Diamond Power Infrastructure Ltd.	DIAPOWER
DIC India Ltd.	DICIND
Digjam Ltd.	DIGJAM
Dion Global Solutions Ltd.	FORTISFIN
Disa India Ltd.	GEORGFISCHBE
Dish TV India Ltd.	DISHTV
Dishman Pharmaceuticals & Chemicals Ltd	DISHMAN
Divi's Laboratories Ltd.	DIVISLAB
DLF Ltd.	DLF
Dolphin Offshore Enterprises (India) Ltd.	DOLPHINOFF
Donear Industries Ltd.	DONEAR
Doon Valley Rice Ltd.	DOONVALLEYBE
Dot Com Global Ltd.	PRECIMDIAMBE
DPSC Ltd.	DPSCLTD
DQ Entertainment (International) Ltd.	DQE
DR Softech & Industries Ltd.	DRIND
Dr. Reddy's Laboratories Ltd.	DRREDDY
Dredging Corporation Of India Ltd.	DREDGECORP
DS Kulkarni Developers Ltd.	DSKULKARNI
DSJ Communications Ltd.	DALALSTCOM
Duncans Industries Ltd.	DUNCANSINDBE
Dunlop India Ltd.	DUNLOPBE
Dwarikesh Sugar Industries Ltd.	DWARKESH
Dynacons Systems & Solutions Ltd.	DSSL
Dynacons Technologies Ltd.	DYNATECH
Dynamatic Technologies Ltd.	DYNAMATECHBE
Eastcoast Steel Ltd.	ESTCSTSTELBE
Eastern Silk Industries Ltd.	EASTSILK
Eastern Sugar & Industries Ltd.	EASTSUGIND
Easun Reyrolle Ltd.	EASUNREYRL
ECE Industries Ltd.	ECEIND
eClerx Services Ltd.	ECLERX
Ecoboard Industries Ltd.	WESTERNBIOBE
Edelweiss Financial Services Ltd.	EDELWEISS
Edserv Softsystems Ltd.	EDSERV
Educomp Solutions Ltd.	EDUCOMP
Eicher Ltd.	EICHERBE
Eicher Motors Ltd.	EICHERMOT
EID Parry (India) Ltd.	EIDPARRY
EIH Associated Hotels Ltd.	EIHAHOTELS
EIH Ltd.	EIHOTEL
Eimco Elecon (India) Ltd.	EIMCOELECO
EL Forge Ltd.	ELFORGE
Elantas Beck India Ltd.	DRBECK
Elbee Services Ltd.	ELBEEBE
Elder Pharmaceuticals Ltd.	ELDERPHARM
Elecon Engineering Company Ltd.	ELECON
Electrex (India) Ltd.	ELECTRXBE
Electrosteel Castings Ltd.	ELECTCAST
Electrosteel Steels Ltd.	ESL
Electrotherm (India) Ltd.	ELECTHERMBE
Elgi Equipments Ltd.	ELGIUIP
Elgi Rubber Company Ltd.	ELGIRUBCO
Elgi Rubber Company Ltd.(Old)	ELGIRUBBER
Elnet Technologies Ltd.	ELNET
Elpro International Ltd.	ELPROINTL
Emami Infrastructure Ltd.	EMAMIINFRA
Emami Ltd.	EMAMILTD
Emco Ltd.	EMCO
Emkay Global Financial Services Ltd.	EMKAY
Emmbi Polyarns Ltd.	EMMBI
Empee Distilleries Ltd.	EDL
Empee Sugars and Chemicals Ltd.	EMPEESUG
Emtex Industries (India) Ltd.	EMTEXINDBE
Company	Code
Energy Development Company Ltd.	ENERGYDEV
Engineers India Ltd.	ENGINERSIN
Enkay Texofood Industries Ltd.	ENKTEXFOODBE
Entegra Ltd.	ENTEGRA
Entertainment Network (India) Ltd.	ENIL
Envair Electrodyne Ltd.	KIRLOSELECBE
Eon Electric Ltd.	EONBE
Era Infra Engineering Ltd.	ERAINFRA
Eros International Media Ltd.	EROSMEDIA
Esab India Ltd.	ESABINDIA
Escorts Finance Ltd.	ESCORTSFIN
Escorts Ltd.	ESCORTS
Eskay Kn'IT (India) Ltd.	SHREEKRPET
Ess Dee Aluminium Ltd.	ESSDEE
Essar Oil Ltd.	ESSAROIL
Essar Ports Ltd.	ESSARPORTS
Essar Shipping Ltd.	ESSARSHPNG
Essar Steel Ltd.	ESTL
Essel Propack Ltd.	ESSELPACK
Ester Industries Ltd.	ESTER
ETC Networks Ltd.(Old1)	ETCNETBE
ETC Networks Ltd.[Amalgamated]	ETC
ETP Corporation Ltd.	ETPCORP
Eupharma Laboratories Ltd.	EUPHARMLAB
Euro Ceramics Ltd.	EUROCERA
Euro Multivision Ltd.	EUROMULTI
Eurotex Industries & Exports Ltd.	EUROTEXIND
Eveready Industries India Ltd.	EVEREADYBE
Everest Industries Ltd.	EVERESTIND
Everest Kanto Cylinder Ltd.	EKCBE
Everonn Education Ltd.	EVERONN
Evinix Industries Ltd.	EVINIXBE
Excel Crop Care Ltd.	EXCELCROP
Excel Industries Ltd.	EXCELINDUS
Excel Infoways Ltd.	EXCELINFOBE
Exide Industries Ltd.	EXIDEIND
Fag Bearings India Ltd.	FAGBEARING
Falcon Tyres Ltd.	FALCONTYREBE
Fame India Ltd.	FAMEBE
Farmax India Ltd.	FARMAXIND
Faze Three Ltd.	FAZETHREEBE
FCGL Industries Ltd.	FASTCAPBE
FCI OEN Connectors Ltd.	OENCONNECT
FCL Technologies & Products Ltd.	FLEXCHEM
FCS Software Solutions Ltd.	FCSSOFT
FDC Ltd.	FDC
Fedders Lloyd Corporation Ltd.	FEDDERLOYD
Federal Bank Ltd.	FEDERALBNK
Federal-Mogul Goetze (India) Ltd.	FMGOETZE
Ferro Alloys Corporation Ltd.	FERROALLOYBE
Fertilisers and Chemicals Travancore Ltd.	FACT
FGP Ltd.	FGPINDBE
Ficom Organics Ltd.	FICOMORGANBE
FIEM Industries Ltd.	FIEMIND
Filatex India Ltd.	FILATEX
Financial Technologies (India) Ltd.	FINANTECH
Finolex Cables Ltd.	FINCABLES
Finolex Industries Ltd.	FINPIPE
First Leasing Company of India Ltd.	FIRSTLEASE
First Winner Industries Ltd.	FIRSTWIN
Firstsource Solutions Ltd.	FSL
Flex Engineering Ltd.[Merged]	FLEXENGG
Flexituff International Ltd.	FLEXITUFF
Flextronics Software Systems Ltd.	FSS
Forbes & Company Ltd.	FORBESGOK
Force Motors Ltd.	BAJAJTEMPO
Fortis Healthcare Ltd.	FORTIS
Foseco India Ltd.	FOSECOIND
Four Soft Ltd.	FOURSOFTBE
Fresenius Kabi Oncology Ltd.	FKONCO
Fulford (India) Ltd.	FULFORD
Futura Polyesters Ltd.	INDIANORGBE
Future Market Networks Ltd.	FMNL
Future Ventures India Ltd.	FUTUREVENT
Futuristic Offshore Services & Chemical Ltd.	GANESHANHYBE
G M Breweries Ltd.	GMBREW
Gabriel India Ltd.	GABRIEL
GAIL (India) Ltd.	GAIL
Galada Power & Telecommunications Ltd.	GALPOWTELBE
Gallantt Ispat Ltd.	GALLISPAT
Gallantt Metal Ltd.	GALLANTT
Gammon India Ltd.	GAMMONIND
Gammon Infrastructure Projects Ltd.	GAMMNINFRA
Gandhi Special Tubes Ltd.	GANDHITUBE
Ganesh Benzoplast Ltd.	GANESHBENZ
Ganesh Housing Corporation Ltd.	GANESHHOUC
Gangotri Textile Ltd.	GANGOTRI
Garden Silk Mills Ltd.	GARDENSILK
Garware Polyester Ltd.	GARWARPOLYBE
Garware-Wall Ropes Ltd.	GARWALLROP
Gateway Distriparks Ltd.	GDL
Gati Ltd.	GATI
Gayatri Projects Ltd.	GAYAPROJ
GE Capital Transportation Financial Services Ltd	SRFFINANCEBE
GeeCee Ventures Ltd.	GEECEE
Geekay Exim (India) Ltd.	GEEKAYEXIMBE
GEI Industrial Systems Ltd.	GEINDSYS
Gem Spinners India Ltd.	GEMSPINBE
Gemini Communication Ltd.	GEMINI
Genesys International Corporation Ltd.	GENESYS
Genus Power Infrastructures Ltd.	GENUSPOWER
Company	Code
Geodesic Ltd.	GEODESIC
Geojit BNP Paribas Financial Services Ltd.	GEOJITBNPP
Geometric Ltd.	GEOMETRIC
GHCL Ltd.	GHCL
GI Engineering Solutions Ltd.	GISOLUTION
GIC Housing Finance Ltd.	GICHSGFIN
Gillanders Arbuthnot & Company Ltd.	GILLANDERS
Gillette India Ltd.	GILLETTE
Ginni Filaments Ltd.	GINNIFILA
Girdharilal Sugar & Allied Industries Ltd.	NARMADASUG
Gitanjali Gems Ltd.	GITANJALI
GKB Ophthalmics Ltd.	GKB
